""

	3	0
	0	1	2	3
10	-0.8	0.0	0.0	0.0
11	-0.8	0.0	0.0	0.0
12	-0.8	0.0	0.0	0.0
13	-0.8	-0.8	0.0	0.0
14	-0.8	-0.8	0.0	0.0

	4	2
	0	1	2	3
0	-1.56	-1.0	-1.556	-1.4420000000000002
1	-1.0	-1.0	-0.7	-0.7
2	-1.0	-1.0	0.0	0.0
3	-1.0	-1.0	0.0	0.0
4	-1.0	-1.0	0.0	0.0
5	-0.9	-1.302	-1.57136	-0.94
6	-0.9	-1.0919999999999999	0.0	0.0
7	-0.9	-0.9	0.0	0.0
8	-0.9	-0.9	0.0	0.0
9	-0.9	-0.9	0.0	0.0
10	-0.8	-0.7	0.0	0.0
11	-0.8	0.0	0.0	0.0
12	-0.8	0.0	0.0	0.0
13	-0.8	-0.8	0.0	0.0
14	-0.8	-0.8	0.0	0.0

	4	0
	0	1	2	3
0	-1.56	-1.48	-1.556	-1.4420000000000002
1	-1.0	-1.0	-0.7	-0.7
2	-1.0	-1.0	0.0	0.0
3	-1.0	-1.0	0.0	0.0
4	-1.0	-1.0	0.0	0.0
5	-0.9	-1.302	-1.57136	-0.94
6	-0.9	-1.0919999999999999	0.0	0.0
7	-0.9	-0.9	0.0	0.0
8	-0.9	-0.9	0.0	0.0
9	-0.9	-0.9	0.0	0.0
10	-0.8	-0.7	0.0	0.0
11	-0.8	0.0	0.0	0.0
12	-0.8	0.0	0.0	0.0
13	-0.8	-0.8	0.0	0.0
14	-0.8	-0.8	0.0	0.0

	4	1
	0	1	2	3
0	-1.56	-1.48	-1.556	-1.6280000000000001
1	-1.0	-1.0	-0.7	-0.7
2	-1.0	-1.0	0.0	0.0
3	-1.0	-1.0	0.0	0.0
4	-1.0	-1.0	0.0	0.0
5	-0.9	-1.302	-1.57136	-0.94
6	-0.9	-1.0919999999999999	0.0	0.0
7	-0.9	-0.9	0.0	0.0
8	-0.9	-0.9	0.0	0.0
9	-0.9	-0.9	0.0	0.0
10	-0.8	-0.7	0.0	0.0
11	-0.8	0.0	0.0	0.0
12	-0.8	0.0	0.0	0.0
13	-0.8	-0.8	0.0	0.0
14	-0.8	-0.8	0.0	0.0

	3	1
	0	1	2	3
0	-1.56	-1.48	-1.556	-1.6280000000000001
1	-1.0	-1.0	-0.7	-0.7
2	-1.0	-1.0	0.0	0.0
3	-1.0	-1.0	0.0	0.0
4	-1.0	-1.0	0.0	0.0
5	-1.3920000000000001	-1.302	-1.57136	-0.94
6	-0.9	-1.0919999999999999	0.0	0.0
7	-0.9	-0.9	0.0	0.0
8	-0.9	-0.9	0.0	0.0
9	-0.9	-0.9	0.0	0.0
10	-0.8	-0.7	0.0	0.0
11	-0.8	0.0	0.0	0.0
12	-0.8	0.0	0.0	0.0
13	-0.8	-0.8	0.0	0.0
14	-0.8	-0.8	0.0	0.0

	3	0
	0	1	2	3
0	-1.56	-1.48	-1.556	-1.6280000000000001
1	-1.0	-1.0	-0.7	-0.7
2	-1.0	-1.0	0.0	0.0
3	-1.0	-1.0	0.0	0.0
4	-1.0	-1.0	0.0	0.0
5	-1.3920000000000001	-1.302	-1.57136	-0.94
6	-0.9	-1.0919999999999999	-0.9359999999999999	0.0
7	-0.9	-0.9	0.0	0.0
8	-0.9	-0.9	0.0	0.0
9	-0.9	-0.9	0.0	0.0
10	-0.8	-0.7	0.0	0.0
11	-0.8	0.0	0.0	0.0
12	-0.8	0.0	0.0	0.0
13	-0.8	-0.8	0.0	0.0
14	-0.8	-0.8	0.0	0.0

	3	1
	0	1	2	3
0	-1.56	-1.48	-1.556	-1.6280000000000001
1	-1.0	-1.0	-0.7	-0.88
2	-1.0	-1.0	0.0	0.0
3	-1.0	-1.0	0.0	0.0
4	-1.0	-1.0	0.0	0.0
5	-1.3920000000000001	-1.302	-1.57136	-0.94
6	-0.9	-1.0919999999999999	-0.9359999999999999	0.0
7	-0.9	-0.9	0.0	0.0
8	-0.9	-0.9	0.0	0.0
9	-0.9	-0.9	0.0	0.0
10	-0.8	-0.7	0.0	0.0
11	-0.8	0.0	0.0	0.0
12	-0.8	0.0	0.0	0.0
13	-0.8	-0.8	0.0	0.0
14	-0.8	-0.8	0.0	0.0

	3	2
	0	1	2	3
0	-1.56	-1.48	-1.556	-1.6280000000000001
1	-1.0	-1.0	-0.7	-0.88
2	-1.0	-1.0	0.0	0.0
3	-1.0	-1.0	0.0	0.0
4	-1.0	-1.0	0.0	0.0
5	-1.3920000000000001	-1.302	-1.57136	-0.94
6	-0.9	-1.0919999999999999	-0.9359999999999999	-0.6
7	-0.9	-0.9	0.0	0.0
8	-0.9	-0.9	0.0	0.0
9	-0.9	-0.9	0.0	0.0
10	-0.8	-0.7	0.0	0.0
11	-0.8	0.0	0.0	0.0
12	-0.8	0.0	0.0	0.0
13	-0.8	-0.8	0.0	0.0
14	-0.8	-0.8	0.0	0.0

	4	2
	0	1	2	3
0	-1.56	-1.48	-1.556	-1.6280000000000001
1	-1.0	-1.0	-0.7	-0.88
2	-1.0	-1.0	0.0	0.0
3	-1.0	-1.0	0.0	0.0
4	-1.0	-1.0	0.0	0.0
5	-1.3920000000000001	-1.302	-1.57136	-0.94
6	-0.9	-1.0919999999999999	-0.9359999999999999	-0.6
7	-0.9	-0.9	0.0	0.0
8	-0.9	-0.9	0.0	0.0
9	-0.9	-0.9	0.0	0.0
10	-0.8	-0.7	0.0	0.0
11	-0.8	-0.9359999999999999	0.0	0.0
12	-0.8	0.0	0.0	0.0
13	-0.8	-0.8	0.0	0.0
14	-0.8	-0.8	0.0	0.0

	4	1
	0	1	2	3
0	-1.56	-1.48	-1.556	-1.6280000000000001
1	-1.0	-1.0	-0.7	-0.88
2	-1.0	-1.0	0.0	0.0
3	-1.0	-1.0	0.0	0.0
4	-1.0	-1.0	0.0	0.0
5	-1.3920000000000001	-1.302	-1.57136	-0.94
6	-0.9	-1.0919999999999999	-0.9359999999999999	-0.6
7	-0.9	-0.9	0.0	0.0
8	-0.9	-0.9	0.0	0.0
9	-0.9	-0.9	0.0	0.0
10	-0.8	-0.7	-1.3542528000000003	0.0
11	-0.8	-0.9359999999999999	0.0	0.0
12	-0.8	0.0	0.0	0.0
13	-0.8	-0.8	0.0	0.0
14	-0.8	-0.8	0.0	0.0

	4	2
	0	1	2	3
0	-1.56	-1.48	-1.556	-1.6280000000000001
1	-1.0	-1.0	-0.7	-0.88
2	-1.0	-1.0	0.0	0.0
3	-1.0	-1.0	0.0	0.0
4	-1.0	-1.0	0.0	0.0
5	-1.3920000000000001	-1.302	-1.57136	-0.976
6	-0.9	-1.0919999999999999	-0.9359999999999999	-0.6
7	-0.9	-0.9	0.0	0.0
8	-0.9	-0.9	0.0	0.0
9	-0.9	-0.9	0.0	0.0
10	-0.8	-0.7	-1.3542528000000003	0.0
11	-0.8	-0.9359999999999999	0.0	0.0
12	-0.8	0.0	0.0	0.0
13	-0.8	-0.8	0.0	0.0
14	-0.8	-0.8	0.0	0.0

	4	3
	0	1	2	3
0	-1.56	-1.48	-1.556	-1.6280000000000001
1	-1.0	-1.0	-0.7	-0.88
2	-1.0	-1.0	0.0	0.0
3	-1.0	-1.0	0.0	0.0
4	-1.0	-1.0	0.0	0.0
5	-1.3920000000000001	-1.302	-1.57136	-0.976
6	-0.9	-1.0919999999999999	-0.9359999999999999	-0.6
7	-0.9	-0.9	0.0	0.0
8	-0.9	-0.9	0.0	0.0
9	-0.9	-0.9	0.0	0.0
10	-0.8	-0.7	-1.3542528000000003	-0.6
11	-0.8	-0.9359999999999999	0.0	0.0
12	-0.8	0.0	0.0	0.0
13	-0.8	-0.8	0.0	0.0
14	-0.8	-0.8	0.0	0.0
15	0.0	0.0	0.0	0.0

	4	0
	0	1	2	3
0	-1.56	-1.832	-1.556	-1.6280000000000001
1	-1.0	-1.0	-0.7	-0.88
2	-1.0	-1.0	0.0	0.0
3	-1.0	-1.0	0.0	0.0
4	-1.0	-1.0	0.0	0.0
5	-1.3920000000000001	-1.302	-1.57136	-0.976
6	-0.9	-1.0919999999999999	-0.9359999999999999	-0.6
7	-0.9	-0.9	0.0	0.0
8	-0.9	-0.9	0.0	0.0
9	-0.9	-0.9	0.0	0.0
10	-0.8	-0.7	-1.3542528000000003	-0.6
11	-0.8	-0.9359999999999999	0.0	0.0
12	-0.8	0.0	0.0	0.0
13	-0.8	-0.8	0.0	0.0
14	-0.8	-0.8	0.0	0.0
15	0.0	0.0	0.0	0.0

	4	0
	0	1	2	3
0	-1.56	-1.832	-1.9004	-1.6280000000000001
1	-1.0	-1.0	-0.7	-0.88
2	-1.0	-1.0	0.0	0.0
3	-1.0	-1.0	0.0	0.0
4	-1.0	-1.0	0.0	0.0
5	-1.3920000000000001	-1.302	-1.57136	-0.976
6	-0.9	-1.0919999999999999	-0.9359999999999999	-0.6
7	-0.9	-0.9	0.0	0.0
8	-0.9	-0.9	0.0	0.0
9	-0.9	-0.9	0.0	0.0
10	-0.8	-0.7	-1.3542528000000003	-0.6
11	-0.8	-0.9359999999999999	0.0	0.0
12	-0.8	0.0	0.0	0.0
13	-0.8	-0.8	0.0	0.0
14	-0.8	-0.8	0.0	0.0
15	0.0	0.0	0.0	0.0

	3	0
	0	1	2	3
0	-1.6800000000000002	-1.832	-1.9004	-1.6280000000000001
1	-1.0	-1.0	-0.7	-0.88
2	-1.0	-1.0	0.0	0.0
3	-1.0	-1.0	0.0	0.0
4	-1.0	-1.0	0.0	0.0
5	-1.3920000000000001	-1.302	-1.57136	-0.976
6	-0.9	-1.0919999999999999	-0.9359999999999999	-0.6
7	-0.9	-0.9	0.0	0.0
8	-0.9	-0.9	0.0	0.0
9	-0.9	-0.9	0.0	0.0
10	-0.8	-0.7	-1.3542528000000003	-0.6
11	-0.8	-0.9359999999999999	0.0	0.0
12	-0.8	0.0	0.0	0.0
13	-0.8	-0.8	0.0	0.0
14	-0.8	-0.8	0.0	0.0
15	0.0	0.0	0.0	0.0

	3	0
	0	1	2	3
0	-1.6800000000000002	-1.832	-1.9004	-1.6280000000000001
1	-1.0	-1.0	-1.13	-0.88
2	-1.0	-1.0	0.0	0.0
3	-1.0	-1.0	0.0	0.0
4	-1.0	-1.0	0.0	0.0
5	-1.3920000000000001	-1.302	-1.57136	-0.976
6	-0.9	-1.0919999999999999	-0.9359999999999999	-0.6
7	-0.9	-0.9	0.0	0.0
8	-0.9	-0.9	0.0	0.0
9	-0.9	-0.9	0.0	0.0
10	-0.8	-0.7	-1.3542528000000003	-0.6
11	-0.8	-0.9359999999999999	0.0	0.0
12	-0.8	0.0	0.0	0.0
13	-0.8	-0.8	0.0	0.0
14	-0.8	-0.8	0.0	0.0
15	0.0	0.0	0.0	0.0

	3	1
	0	1	2	3
0	-1.6800000000000002	-1.832	-1.9004	-1.6280000000000001
1	-1.0	-1.0	-1.13	-1.18
2	-1.0	-1.0	0.0	0.0
3	-1.0	-1.0	0.0	0.0
4	-1.0	-1.0	0.0	0.0
5	-1.3920000000000001	-1.302	-1.57136	-0.976
6	-0.9	-1.0919999999999999	-0.9359999999999999	-0.6
